id,label
8711,0.899462
9715,0.000001
4823,0.998400
3045,0.534286
4499,0.722530
102,0.000023
12139,0.905302
11824,0.968019
3138,0.000017
9442,0.960340
5454,0.000004
2796,0.998613
8710,0.000025
7070,0.000007
131,0.000000
369,0.000017
8448,0.982246
11481,0.000011
6635,0.000017
5975,0.925453
6412,0.925783
2023,0.000000
5368,0.000006
11632,0.000091
9001,0.848832
3934,0.000004
248,0.000001
5953,0.942742
11585,0.996296
1396,0.000017
8725,0.919219
5155,0.986186
9374,0.997445
10008,0.985496
11281,0.985289
6902,0.000006
8438,0.211509
12300,0.997684
4769,0.000000
591,0.000024
10200,0.963710
6105,0.972180
9507,0.000001
11592,0.000015
7625,0.898582
2815,0.000008
6076,0.984645
4229,0.538397
11531,0.977154
6830,0.925007
4579,0.000001
10948,0.994494
6308,0.000015
7621,0.602645
681,0.000001
7446,0.981983
1211,0.851307
5142,0.000009
3697,0.179088
7949,0.095491
2804,0.000002
4983,0.999614
6614,0.897709
11721,0.000021
7682,0.000081
3015,0.000002
10228,0.984607
7928,0.000022
4887,0.964649
3190,0.000518
5815,0.986605
2670,0.001003
1376,0.972951
7514,0.000007
8084,0.000007
10020,0.995774
10209,0.000009
3701,0.000002
1659,0.868137
5671,0.000112
12461,0.000016
2619,0.000009
1824,0.954197
11480,0.000016
9066,0.000007
7005,0.000003
156,0.784269
9517,0.994358
5335,0.968209
8519,0.000014
4756,0.988145
4963,0.996395
2298,0.000345
12383,0.000002
9088,0.000016
6669,0.000011
9761,0.875524
7001,0.000004
2658,0.873265
9049,0.471480
7879,0.979986
7036,0.996362
6899,0.995329
11310,0.996965
7955,0.997333
8849,0.832922
9099,0.000000
10651,0.000014
3369,0.925774
7142,0.000002
5203,0.787726
9337,0.965309
5149,0.919127
10047,0.000001
3879,0.996353
7475,0.000004
4275,0.953836
7285,0.967767
10028,0.712934
899,0.000002
490,0.971593
6952,0.000002
4856,0.947772
640,0.000004
6962,0.993114
497,0.000019
2992,0.000012
7418,0.998391
9459,0.000014
6982,0.993636
10531,0.996625
2791,0.000028
1089,0.000014
3650,0.998632
6268,0.081964
10479,0.516597
7605,0.000042
8422,0.600784
7745,0.987812
6487,0.000035
8203,0.000002
8679,0.000000
11732,0.000075
828,0.986142
7790,0.000004
1081,0.000014
3378,0.995735
5706,0.993414
8894,0.113654
11521,0.997690
5940,0.000032
8572,0.000003
9082,0.570197
6163,0.922488
9840,0.039514
10257,0.000003
4300,0.875471
10219,0.948002
332,0.000632
9733,0.000051
705,0.000006
9225,0.000005
6914,0.347582
1490,0.000001
1160,0.962606
10138,0.000002
5674,0.739876
11486,0.000122
10886,0.998555
4198,0.000000
12201,0.000011
7060,0.962296
12153,0.000021
2103,0.997251
12393,0.998085
6983,0.000044
223,0.000009
9345,0.000003
11247,0.992159
2799,0.000003
243,0.000005
11023,0.937376
6989,0.000002
1791,0.841948
4090,0.000002
6329,0.967392
409,0.994879
218,0.746093
162,0.000012
6705,0.000259
8513,0.000006
1986,0.984569
3501,0.684567
3496,0.000041
5089,0.980248
11120,0.972949
2722,0.978196
11452,0.000110
7029,0.000001
5691,0.000002
1879,0.000001
3852,0.971854
6597,0.000009
5394,0.000010
631,0.000005
10708,0.000076
1991,0.893649
10298,0.927091
6566,0.000017
11327,0.709313
3174,0.000013
5971,0.970021
255,0.000000
4736,0.969205
3410,0.917715
10120,0.000035
7392,0.174860
3519,0.000042
9797,0.981491
5640,0.000002
10242,0.000012
9403,0.994720
8958,0.986388
5817,0.004985
72,0.821121
3648,0.999754
2240,0.000146
4889,0.985550
2634,0.401775
6044,0.000002
9030,0.000132
3451,0.996887
4997,0.000002
12353,0.000002
386,0.000002
8175,0.000002
7693,0.000004
